2022-03-08T14-40-56,91711,Foothills Infectious Disease Med,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-31T15-09-22,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-04-01T06-54-45,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-04-05T05-48-33,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,91711,Foothills Infectious Disease Med,NLP,NLP,NLP,,04/01/2022 12:00:00 AM
