2022-02-16T18-37-01,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,,24,,
2022-02-18T15-54-16,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,,24,,
2022-02-18T16-04-21,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,,24,,
2022-02-22T09-09-37,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,,24,,
2022-02-24T09-51-18,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,67870,SATANTA DISTRICT HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/14/2022 12:00:00 AM
2022-03-24T13-46-29,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,67870,SATANTA DISTRICT HOSPITAL,NLP,NLP,NLP,24,04/18/2022 12:00:00 AM
