2022-02-10T21-04-53,58701,TRINITY HOSPITAL,,,0,26,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,58701,TRINITY HOSPITAL,,,0,26,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,58701,TRINITY HOSPITAL,,,0,26,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,58701,TRINITY HOSPITAL,,,0,26,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,58701,TRINITY HOSPITAL,,,0,26,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,58701,TRINITY HOSPITAL,NLP,NLP,NLP,63,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,58701,TRINITY HOSPITAL,NLP,NLP,NLP,59,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,58701,TRINITY HOSPITAL,NLP,NLP,NLP,77,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,58701,TRINITY HOSPITAL,NLP,NLP,NLP,77,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,58701,TRINITY HOSPITAL,NLP,NLP,NLP,77,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,58701,TRINITY HOSPITAL,NLP,NLP,NLP,77,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,58701,TRINITY HOSPITAL,NLP,NLP,NLP,79,03/28/2022 12:00:00 AM
