2022-02-18T16-04-21,67748,LOGAN COUNTY HOSPITAL,02/15/2022 12:00:00 AM,,24,0,02/17/2022 12:00:00 AM
2022-02-24T09-51-18,67748,LOGAN COUNTY HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,24,02/21/2022 12:00:00 AM
2022-03-03T09-56-49,67748,LOGAN COUNTY HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,24,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,67748,LOGAN COUNTY HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,24,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,67748,LOGAN COUNTY HOSPITAL,02/15/2022 12:00:00 AM,02/21/2022 12:00:00 AM,24,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,67748,LOGAN COUNTY HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
