2022-02-18T16-04-21,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,,24,0,02/15/2022 12:00:00 AM
2022-02-22T09-09-37,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,24,02/20/2022 12:00:00 AM
2022-02-24T09-51-18,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,24,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,24,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,24,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,66956,JEWELL CO HOSPITAL,02/15/2022 12:00:00 AM,02/18/2022 12:00:00 AM,24,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/19/2022 12:00:00 AM
2022-03-23T08-41-43,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-07T05-34-07,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-04-08T05-48-29,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/14/2022 12:00:00 AM
2022-04-20T05-27-37,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/24/2022 12:00:00 AM
2022-04-27T05-23-49,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-11T06-51-12,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-12T07-16-49,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-13T06-07-31,66956,JEWELL CO HOSPITAL,NLP,NLP,NLP,24,05/12/2022 12:00:00 AM
