2022-04-16T05-33-42,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-17T05-32-24,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-18T05-31-10,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-19T05-39-24,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-20T05-27-37,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-21T05-29-54,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-22T05-26-18,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-23T05-25-10,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-24T05-22-24,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-25T05-22-33,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-26T05-20-54,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-27T05-23-49,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-28T09-22-45,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-29T05-13-54,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-04-30T05-15-55,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
2022-05-01T05-13-51,95542,JEROLD PHELPS COMMUNITY HOSPITAL,NLP,NLP,NLP,0,04/01/2022 12:00:00 AM
