2022-03-16T18-51-35,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,67003,PATTERSON HEALTH CENTER,NLP,NLP,NLP,24,03/25/2022 12:00:00 AM
