2022-02-10T21-04-53,58220,PEMBINA CO MEM HOSP,,,0,10,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,58220,PEMBINA CO MEM HOSP,,,0,10,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,58220,PEMBINA CO MEM HOSP,,,0,10,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,58220,PEMBINA CO MEM HOSP,,,0,10,02/11/2022 12:00:00 AM
2022-02-16T08-23-53,58220,PEMBINA CO MEM HOSP,,,0,10,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,58220,PEMBINA CO MEM HOSP,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
