2022-01-26T07-35-52,74127,OSU MED CTR,01/20/2022 12:00:00 AM,,24,,
2022-01-27T14-49-32,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,72,,
2022-01-28T09-28-02,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,72,,
2022-01-28T13-55-27,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,72,,
2022-01-28T14-38-48,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,72,,
2022-01-28T15-43-02,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,72,,
2022-01-28T17-11-19,74127,OSU MED CTR,01/25/2022 12:00:00 AM,,96,72,01/28/2022 12:00:00 AM
2022-02-01T09-23-15,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,96,72,01/31/2022 12:00:00 AM
2022-02-02T09-09-05,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/01/2022 12:00:00 AM
2022-02-04T09-14-55,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/02/2022 12:00:00 AM
2022-02-07T09-54-34,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/04/2022 12:00:00 AM
2022-02-09T09-41-46,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/08/2022 12:00:00 AM
2022-02-10T21-04-53,74127,OSU MED CTR,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,74127,OSU MED CTR,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,74127,OSU MED CTR,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,74127,OSU MED CTR,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,74127,OSU MED CTR,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/15/2022 12:00:00 AM
2022-02-16T18-37-01,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/16/2022 12:00:00 AM
2022-02-18T15-54-16,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/21/2022 12:00:00 AM
2022-02-24T09-51-18,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/21/2022 12:00:00 AM
2022-03-03T09-56-49,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,74127,OSU MED CTR,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,72,72,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,74127,OSU MED CTR,NLP,NLP,NLP,72,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
