2022-06-02T07-54-10,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-05T08-48-25,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-06T06-32-51,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-07T05-36-41,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-08T05-42-02,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-09T04-15-20,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-10T04-15-36,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-11T04-15-14,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-12T04-15-15,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-13T04-15-40,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-14T04-15-16,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,24,06/01/2022 12:00:00 AM
2022-06-15T04-15-27,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-18T04-15-18,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-19T04-15-29,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-20T04-15-58,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-21T04-15-35,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-22T04-15-20,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-23T04-15-16,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-24T04-15-26,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-25T04-15-18,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-26T04-15-17,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-27T04-15-31,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-28T04-15-44,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
2022-06-29T04-15-40,18015,VITA MEDICAL ASSOCIATES PC,NLP,NLP,NLP,23,06/14/2022 12:00:00 AM
