2022-03-03T09-56-49,32117,ADVENT HEALTH- DAYTONA BEACH,02/25/2022 12:00:00 AM,,192,,
2022-03-03T10-04-44,32117,ADVENT HEALTH- DAYTONA BEACH,02/25/2022 12:00:00 AM,,192,,
2022-03-08T14-40-56,32117,AdventHealth Daytona Beach,02/25/2022 12:00:00 AM,03/02/2022 12:00:00 AM,192,,
2022-03-18T11-17-38,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-04-01T06-54-45,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-04-01T06-54-45,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,32117,Holly Hill Pharmacy,NLP,NLP,NLP,222,03/17/2022 12:00:00 AM
2022-04-03T05-51-54,32117,Daytona Cancer Center,NLP,NLP,NLP,190,03/28/2022 12:00:00 AM
