2022-02-18T16-04-21,31602,SOUTH GEORGIA MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,0,02/11/2022 12:00:00 AM
2022-04-05T05-48-33,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-06T05-45-18,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-07T05-34-07,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-08T05-48-29,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-09T05-41-09,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-10T09-31-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-11T07-06-23,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-12T07-06-55,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-13T09-20-57,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-13T11-55-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-14T09-18-06,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-15T06-03-51,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-04-16T05-33-42,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-19T05-25-31,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-20T05-59-40,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-21T05-54-21,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-22T09-07-10,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-23T07-42-39,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
