2022-02-16T18-37-01,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,,24,,
2022-02-18T15-54-16,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,,24,,
2022-02-18T16-04-21,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-02-22T09-09-37,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-02-24T09-51-18,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,70809,BATON ROUGE GENERAL MEDICAL CENTER,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-06-24T04-15-26,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-29T04-15-40,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-06-30T04-15-32,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-07-01T04-15-22,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-07-03T14-40-38,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-07-04T04-15-29,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,06/23/2022 12:00:00 AM
2022-07-05T04-15-18,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,07/04/2022 12:00:00 AM
2022-07-06T04-15-19,70809,BATON ROUGE GENERAL MEDICAL CENTER,NLP,NLP,NLP,34,07/04/2022 12:00:00 AM
