2022-03-08T14-40-56,19460,Gateway Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-28T06-21-17,19460,Gateway Pharmacy,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,19460,Gateway Pharmacy,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,19460,Gateway Pharmacy,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,19460,Gateway Pharmacy,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,19460,Gateway Pharmacy,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,19460,Gateway Pharmacy,NLP,NLP,NLP,23,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,19460,Gateway Pharmacy,NLP,NLP,NLP,23,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,19460,Gateway Pharmacy,NLP,NLP,NLP,23,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,19460,Gateway Pharmacy,NLP,NLP,NLP,23,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
