2022-02-18T16-04-21,03909,YORK HOSPITAL,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,48,0,02/10/2022 12:00:00 AM
2022-04-05T05-48-33,03909,YORK HOSPITAL,NLP,NLP,NLP,0,02/10/2022 12:00:00 AM
2022-04-06T05-45-18,03909,YORK HOSPITAL,NLP,NLP,NLP,0,02/10/2022 12:00:00 AM
2022-04-07T05-34-07,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-15T06-03-51,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-16T05-33-42,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-17T05-32-24,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-18T05-31-10,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-19T05-39-24,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-20T05-27-37,03909,YORK HOSPITAL,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-21T05-29-54,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-24T05-22-24,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-25T05-22-33,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-26T05-20-54,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-27T05-23-49,03909,YORK HOSPITAL,NLP,NLP,NLP,19,04/20/2022 12:00:00 AM
2022-04-28T09-22-45,03909,YORK HOSPITAL,NLP,NLP,NLP,31,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,03909,YORK HOSPITAL,NLP,NLP,NLP,31,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,03909,YORK HOSPITAL,NLP,NLP,NLP,31,04/27/2022 12:00:00 AM
