2022-03-16T18-51-35,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,28,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,48,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,33,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,33,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,33,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,33,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,97210,Legacy Health- Good Samaritan Apoth,NLP,NLP,NLP,27,03/23/2022 12:00:00 AM
